desi,dir,oper,veh,tst,tsi,spd,hdg,lat,long,acc,dl,odo,drst,oday,jrn,line,start,loc,stop,route,occu,event,tst_collected
88,1,22,1366,2025-05-18T12:57:36.751Z,1747573056,9.17,12,60.168413,25.01602,-0.29,203,5527,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:36.693662
88,2,22,1359,2025-05-18T12:57:37.251Z,1747573057,5.98,67,60.175394,25.049591,0.12,93,3643,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:37.385670
88,1,22,1366,2025-05-18T12:57:37.751Z,1747573057,8.96,12,60.168492,25.016053,-0.21,203,5536,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:37.703374
88,2,22,1359,2025-05-18T12:57:38.250Z,1747573058,6.17,57,60.175421,25.049688,0.19,93,3653,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:38.628777
88,1,22,1366,2025-05-18T12:57:38.751Z,1747573058,8.66,13,60.168569,25.016087,-0.31,203,5546,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:38.721464
88,2,22,1359,2025-05-18T12:57:39.251Z,1747573059,6.17,46,60.175457,25.049773,0.01,93,3658,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:39.536390
88,1,22,1366,2025-05-18T12:57:39.751Z,1747573059,8.38,13,60.168644,25.016119,-0.27,203,5556,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:39.847523
88,2,22,1359,2025-05-18T12:57:40.250Z,1747573060,6.64,35,60.175503,25.049846,0.46,93,3663,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:40.464680
88,1,22,1366,2025-05-18T12:57:40.751Z,1747573060,8.13,13,60.168716,25.016154,-0.25,203,5561,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:40.704516
88,2,22,1359,2025-05-18T12:57:41.251Z,1747573061,7.33,25,60.17556,25.049906,0.7,79,3673,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:41.687171
88,1,22,1366,2025-05-18T12:57:41.751Z,1747573061,7.68,14,60.168785,25.016187,-0.45,203,5571,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:41.744351
88,2,22,1359,2025-05-18T12:57:42.251Z,1747573062,7.87,17,60.175627,25.049946,0.53,79,3678,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:42.303129
88,1,22,1366,2025-05-18T12:57:42.751Z,1747573062,7.22,14,60.16885,25.016217,-0.47,203,5576,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:42.915508
88,2,22,1359,2025-05-18T12:57:43.251Z,1747573063,8.35,13,60.175702,25.049976,0.49,79,3688,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:43.530424
88,1,22,1366,2025-05-18T12:57:43.751Z,1747573063,6.58,13,60.16891,25.016246,-0.63,203,5586,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:43.669403
88,2,22,1359,2025-05-18T12:57:44.251Z,1747573064,8.74,11,60.175778,25.050004,0.39,79,3698,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:44.219580
88,1,22,1366,2025-05-18T12:57:44.751Z,1747573064,5.67,13,60.168963,25.01627,-0.92,203,5591,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:44.669097
88,2,22,1359,2025-05-18T12:57:45.251Z,1747573065,9.02,10,60.175857,25.050033,0.28,79,3709,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:45.373319
88,1,22,1366,2025-05-18T12:57:45.751Z,1747573065,4.73,14,60.169008,25.016294,-0.94,203,5596,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:45.988494
88,2,22,1359,2025-05-18T12:57:46.251Z,1747573066,9.34,10,60.175938,25.050063,0.31,79,3714,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:46.225007
88,1,22,1366,2025-05-18T12:57:46.751Z,1747573066,3.67,17,60.169044,25.016316,-1.05,203,5601,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:46.705259
88,2,22,1359,2025-05-18T12:57:47.251Z,1747573067,9.65,10,60.176022,25.050093,0.31,79,3724,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:47.229871
88,1,22,1366,2025-05-18T12:57:47.751Z,1747573067,2.97,24,60.169072,25.016341,-0.7,203,5606,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:47.676982
88,2,22,1359,2025-05-18T12:57:48.251Z,1747573068,9.82,10,60.176109,25.050124,0.17,79,3734,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:48.210276
88,1,22,1366,2025-05-18T12:57:48.751Z,1747573068,2.47,34,60.169093,25.016367,-0.5,203,5606,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:48.755193
88,2,22,1359,2025-05-18T12:57:49.250Z,1747573069,9.81,9,60.176196,25.050154,-0.01,79,3744,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:49.234580
88,1,22,1366,2025-05-18T12:57:49.751Z,1747573069,2.08,48,60.169106,25.016398,-0.39,203,5611,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:49.710772
88,2,22,1359,2025-05-18T12:57:50.250Z,1747573070,9.46,9,60.176282,25.050182,-0.35,79,3754,0,2025-05-18,862,123,15:46,GPS,1491174,1088,0,VP,2025-05-18T15:57:50.290279
88,1,22,1366,2025-05-18T12:57:50.751Z,1747573070,1.63,64,60.169112,25.016428,-0.45,189,5611,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:50.685836
88,2,22,1359,2025-05-18T12:57:51.251Z,1747573071,9.11,9,60.176364,25.05021,-0.35,69,3764,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:51.518862
88,1,22,1366,2025-05-18T12:57:51.751Z,1747573071,1.09,74,60.169119,25.016445,-0.54,189,5616,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:51.679847
88,2,22,1359,2025-05-18T12:57:52.251Z,1747573072,8.74,9,60.176443,25.050238,-0.37,69,3769,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:52.440224
88,1,22,1366,2025-05-18T12:57:52.751Z,1747573072,1.22,80,60.169124,25.016465,0.13,189,5616,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:52.680972
88,2,22,1359,2025-05-18T12:57:53.251Z,1747573073,8.38,11,60.176518,25.050268,-0.36,69,3779,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:53.228190
88,1,22,1366,2025-05-18T12:57:53.751Z,1747573073,2.32,83,60.169126,25.016497,1.1,189,5616,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:53.676419
88,2,22,1359,2025-05-18T12:57:54.251Z,1747573074,8.05,11,60.176591,25.050297,-0.33,69,3789,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:54.283718
88,1,22,1366,2025-05-18T12:57:54.751Z,1747573074,3.53,83,60.16913,25.01655,1.21,189,5616,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:54.685502
88,2,22,1359,2025-05-18T12:57:55.251Z,1747573075,7.72,11,60.17666,25.050324,-0.32,69,3794,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:55.304546
88,1,22,1366,2025-05-18T12:57:55.751Z,1747573075,4.65,83,60.169131,25.016628,1.13,189,5621,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:55.668894
88,2,22,1359,2025-05-18T12:57:56.250Z,1747573076,7.4,10,60.176727,25.05035,-0.32,69,3804,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:56.276746
88,1,22,1366,2025-05-18T12:57:56.751Z,1747573076,5.8,83,60.169133,25.016723,1.14,189,5626,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:56.673340
88,2,22,1359,2025-05-18T12:57:57.251Z,1747573077,7.09,10,60.176791,25.050374,-0.31,69,3809,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:57.235703
88,1,22,1366,2025-05-18T12:57:57.751Z,1747573077,6.89,84,60.169136,25.016841,1.09,189,5631,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:57.706427
88,2,22,1359,2025-05-18T12:57:58.250Z,1747573078,6.75,9,60.176852,25.050396,-0.33,69,3814,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:58.186399
88,1,22,1366,2025-05-18T12:57:58.750Z,1747573078,7.63,85,60.16914,25.016973,0.74,189,5635,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:58.711775
88,2,22,1359,2025-05-18T12:57:59.251Z,1747573079,6.61,9,60.176911,25.050416,-0.15,69,3824,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:57:59.231658
88,1,22,1366,2025-05-18T12:57:59.751Z,1747573079,8.12,85,60.169144,25.017116,0.48,189,5645,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:57:59.813427
88,2,22,1359,2025-05-18T12:58:00.251Z,1747573080,6.78,9,60.176971,25.050435,0.17,69,3829,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:00.426299
88,1,22,1365,2025-05-18T12:58:00.256Z,1747573080,4.29,53,60.195003,25.030638,-0.42,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:00.427625
88,1,22,1366,2025-05-18T12:58:00.750Z,1747573080,8.31,86,60.169148,25.017264,0.2,179,5655,0,2025-05-18,286,123,15:43,GPS,1494204,1088,0,VP,2025-05-18T15:58:00.711521
88,2,22,1359,2025-05-18T12:58:01.251Z,1747573081,7.05,9,60.177032,25.050456,0.27,69,3834,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:01.225705
88,1,22,1365,2025-05-18T12:58:01.256Z,1747573081,3.77,52,60.195025,25.030697,-0.52,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:01.228726
88,1,22,1366,2025-05-18T12:58:01.751Z,1747573081,8.3,86,60.169152,25.017416,-0.02,178,5660,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:01.676227
